Name #1,Name #2,Event,Type,Date (Year)
Notyzze,LUX,DLTLLY OnBeatBattle (Tapefabrik,On Beat,2018
VT,Mars B.,DLTLLY RapBattle (Kassel),Rap Battle,2018
Davie Jones,Vyrus,DLTLLY RapBattle (Kassel),Rap Battle,2018
Olio,Kato,DLTLLY RapBattle (Kassel),Rap Battle,2018
Bauda,Seby Tone,DLTLLY RapBattle (Kassel),Rap Battle,2018
Krom,Wolff,DLTLLY RapBattle (Kassel),Rap Battle,2018
Schalle,Joe Pharo,DLTLLY RapBattle (Kassel),Rap Battle,2018
JollyJay,Brian Damage,DLTLLY Bilingual Battle (DISSember2,Rap Battle,2017
CLEP,Robscure,DLTLLY RapBattle (DISSember2,Rap Battle,2017
Karma,Mars B.,DLTLLY RapBattle (DISSember2,Rap Battle,2017
T-Way,VT,DLTLLY RapBattle (DISSember2,Rap Battle,2017
Jack Dragon,Hansen,DLTLLY RapBattle (DISSember2,Rap Battle,2017
Cris Kotzen,Schote,DLTLLY OnBeatBattle (Leipzig),On Beat,2017
Louis Beton,Hörsturz,DLTLLY RapBattle (Leipzig),Rap Battle,2017
Wandelbarz,Mikesh,DLTLLY RapBattle (Leipzig),Rap Battle,2017
Sizyphos,Ilhan,DLTLLY RapBattle (Leipzig),Rap Battle,2017
FU!,Terra Pete,DLTLLY OnBeatBattle (Leipzig),On Beat,2017
MC Maik,Akanoo,DLTLLY RapBattle (Leipzig),Rap Battle,2017
Papi Schlauch,JerMC,DLTLLY RapBattle (Wien),Rap Battle,2017
DemoLux,Krom,DLTLLY RapBattle (Wien),Rap Battle,2017
Sirius Crack,Fate1,DLTLLY RapBattle (Wien),Rap Battle,2017
Proton,Tobi Nice,DLTLLY OnBeatBattles (B.Day#4,On Beat,2017
Lyrico,Nedal Nib,DLTLLY 2nd TITLE-MATCH (B.Day#4,Rap Battle,2017
Spike,Akanoo,DLTLLY Rap Battles (Wien),Rap Battle,2017
EkHead,CPE,DLTLLY RapBattle (FFM),Rap Battle,2017
VT,Karma,DLTLLY RapBattle (FFM),Rap Battle,2017
Clep,Bong Teggy,DLTLLY RapBattle (Splash 20),Rap Battle,2017
Brian Damage + Robscure,Yarambo + T-Way,DLTLLY RapBattle (Splash 20),Rap Battle,2017
Lyrico + Buddi,Falk + Khacoby,DLTLLY RapBattle (Splash 20),Rap Battle,2017
MC Maik,N'antinein,DLTLLY RapBattle (Splash 20),Rap Battle,2017
Merlin,Peter Pogen,DLTLLY RapBattle (Hamburg),Rap Battle,2017
Papi Schlauch,Fabiga,DLTLLY RapBattle (Hamburg),Rap Battle,2017
Davie Jones,Schote,DLTLLY OnBeatBattle (Hamburg),On Beat,2017
Nedal Nib,JerMc,DLTLLY RapBattle (Mayhem2,Rap Battle,2017
Nikiz,Stockinger,DLTLLY RapBattle (Mayhem2,Rap Battle,2017
Mikesh,Tuncmann,DLTLLY RapBattle (Hamburg),Rap Battle,2017
Henrey,Vyrus,DLTLLY RapBattle (Hamburg),Rap Battle,2017
Lyrico,Robscure,DLTLLY TitleContenderMatch (Mayhem2,Rap Battle,2017
N'antinein,Cris Kotzen,DLTLLY RapBattle (Mayhem2,Rap Battle,2017
MC Maik,Sizyphos,DLTLLY RapBattle (Mayhem2,Rap Battle,2017
T-Way,Merlin,DLTLLY RapBattle (München),Rap Battle,2017
Schote,Jack Dragon,DLTLLY RapBattle (München),Rap Battle,2017
Karma,BDad,DLTLLY RapBattle (München),Rap Battle,2017
Change19,Schalle,DLTLLY RapBattle (München),Rap Battle,2017
Wolle Der Grobe,Balavababa,DLTLLY NewcomerBattle (München),Rap Battle,2017
Mars B.,Yarambo,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
DuFF,Doktor Dave,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
VT,Vyrus,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
Tobi Nice,Notyzze,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
Barracuda,Mavgic,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
Fabiga,Four Seven,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
Henrey,N'antinein,DLTLLY RapBattle (Tapefabrik,Rap Battle,2017
Robscure,Merlin,DLTLLY RapBattle (Berlin),Rap Battle,2017
Tommy2Late,Hörsturz,DLTLLY RapBattle (Berlin),Rap Battle,2017
Rino Mandingo,Cris Kotzen,DLTLLY RapBattle (Berlin),Rap Battle,2017
Sizyphos,Akanoo,DLTLLY RapBattle (Berlin),Rap Battle,2017
Robscure,Mars B.,DLTLLY RapBattle (Kassel),Rap Battle,2017
Lamin,Papa TR,DLTLLY RapBattle (Kassel),Rap Battle,2017
MC Maik,Bauda,DLTLLY RapBattle (Kassel),Rap Battle,2017
Olio,CPE,DLTLLY RapBattle (Kassel),Rap Battle,2017
VT,ShaoLum,DLTLLY RapBattle (Kassel),Rap Battle,2017
Crocodile Andi,Teach,DLTLLY RapBattle (Kassel),Rap Battle,2017
Davie Jones,Clepto,DLTLLY RapBattle (Leipzig),Rap Battle,2016
Paperbite,D-OS,DLTLLY NewcomerBattle (Kassel),Rap Battle,2017
Doktor Dave,Mave,DLTLLY RapBattle (Leipzig),Rap Battle,2016
Papi Schlauch,Lyrico,DLTLLY RapBattle (Dissember,Rap Battle,2016
Louis Beton,Sizyphos,DLTLLY RapBattle (Leipzig),Rap Battle,2016
Stock,Reinicken + Bossom,DLTLLY RapBattle (Leipzig),Rap Battle,2016
Raptor Warhurst,Unanymous,DLTLLY RapBattle (Dissember,Rap Battle,2016
T-Way,JerMc,DLTLLY RapBattle (Dissember,Rap Battle,2016
Karma,Henrey,DLTLLY RapBattle (Dissember,Rap Battle,2016
Tobi High & Max Stoned,CPE & Ekhead,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Yarambo,N'antinein,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Akanoo,Mr. Whyte,DLTLLY RapBattle (3x in die Fresse,Rap Battle,2016
Change19,BX,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Gixtah,Street,DLTLLY NewcomerBattle (3x in die Fresse,Rap Battle,2016
Barracuda,Schalle,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Nicht Dein Typ,Tommy2Late,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Vyrus,Four Seven,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Dawson,Solay,DLTLLY NewcomerBattle (Day 2/2,Rap Battle,2016
Brian Damage & Harry Crotch,Robscure & Karma,DLTLLY RapBattle (B.Day#3,Rap Battle,2016
ANO-NYM,Dirty GommoraH,DLTLLY RapBattle (Day 2/2,Rap Battle,2016
Cris Kotzen,MC Maik,DLTLLY RapBattle (Day 1/2,Rap Battle,2016
Mr. Whyte,Four Seven,DLTLLY NewcomerBattle (Day 2/2,Rap Battle,2016
Davie Jones,Mars B.,DLTLLY RapBattle (B.Day#3,Rap Battle,2016
Hansen,T-Way,DLTLLY RapBattle (Day 1/2,Rap Battle,2016
Joe-L,Schalle,DLTLLY RapBattle (Day 1/2,Rap Battle,2016
Tobi High,Max Stoned,DLTLLY RapBattle (B.Day#3,Rap Battle,2016
ShaoLum,WandelBarZ,DLTLLY RapBattle (Day 2/2,Rap Battle,2016
Jack Dragon,Henrey,DLTLLY RapBattle (B.Day#3,Rap Battle,2016
Bruf,Dirrdy D,DLTLLY NewcomerBattle (Day 2/2,Rap Battle,2016
VT & Tobi Nice,Ekhead & CPE,DLTLLY RapBattle (Day 1/2,Rap Battle,2016
Falk & Khacoby,O.G.OhneGummi & Eric Ventura,DLTLLY RapBattle (Day 1/2,Rap Battle,2016
Barracuda,Olio,DLTLLY RapBattle (Day 1/2,Rap Battle,2016
Davie Jones,Doktor Dave,DLTLLY RapBattle (The Base,Rap Battle,2016
N'antinein,Besser,DLTLLY RapBattle (The Base,Rap Battle,2016
Atzenkalle,Main Moe,DLTLLY RapBattle (Splash19),Rap Battle,2016
Tobi Nice & Duff,Yarambo & Indoor Stan,DLTLLY RapBattle (Splash19),Rap Battle,2016
Schote & BDad,Buddi & Fabiga,DLTLLY RapBattle (Splash19),Rap Battle,2016
Cris Kotzen,Fab,DLTLLY RapBattle (Fete de la HipHop,Rap Battle,2016
Robscure,Davie Jones,DLTLLY RapBattle (Wien),Rap Battle,2016
Seby Tone,Karma,DLTLLY RapBattle (Wien),Rap Battle,2016
Battleboi Basti,Doktor Dave,DLTLLY RapBattle (MAYhem,Rap Battle,2016
Lyrico,Hansen,DLTLLY RapBattle (MAYhem,Rap Battle,2016
Jack Dragon,JerMc,DLTLLY RapBattle (Wien),Rap Battle,2016
FellowSoph,Ekhead,DLTLLY RapBattle (Wien),Rap Battle,2016
Barbee n' Flow,Spello & Al Pone,DLTLLY RapBattle (Wien),Rap Battle,2016
Mave & MC Maik,Tobi Nice & Duff,DLTLLY RapBattle (MAYhem,Rap Battle,2016
Cleptomatic,Yarambo,DLTLLY RapBattle (MAYhem,Rap Battle,2016
Indoor Stan & Nikiz,N'antinein & BX,DLTLLY RapBattle (MAYhem,Rap Battle,2016
BDad,N'antinein,DLTLLY RapBattle (DailyRapJam,Rap Battle,2016
Change19,Akanoo,DLTLLY RapBattle (DailyRapJam,Rap Battle,2016
T-Way,Mars B.,DLTLLY RapBattle (Kassel),Rap Battle,2016
Mavgic,Joe-L,DLTLLY NewcomerBattle (Kassel),Rap Battle,2016
Eric Ventura & O.G. Ohne Gummi,Tobi High & Max Stoned,DLTLLY RapBattle (Kassel),Rap Battle,2016
Aladin,Khan G.,DLTLLY RapBattle (Kassel),Rap Battle,2016
Olio,VT,DLTLLY RapBattle (Kassel),Rap Battle,2016
Yarambo,Fabiga,DLTLLY RapBattle (Düsseldorf),Rap Battle,2016
Akzent,Peat Pandora,DLTLLY RapBattle (Düsseldorf),Rap Battle,2016
Proton,Notyzze,DLTLLY RapBattle (Düsseldorf),Rap Battle,2016
Wandelbarz,Cris Kotzen,DLTLLY RapBattle (Dortmund),Rap Battle,2016
Zeptah,Neit,DLTLLY RapBattle (Dortmund),Rap Battle,2016
Robscure,BX,DLTLLY RapBattle (Kassel),Rap Battle,2016
Falk & Khacoby,Ekhead & CPE,DLTLLY RapBattle (Düsseldorf),Rap Battle,2016
Bauda,Henrey,DLTLLY RapBattle (Düsseldorf),Rap Battle,2016
Harlem T,MC Intifada,DLTLLY FreestyleBattle (Dortmund),Rap Battle,2016
Indoor Stan,Robscure,DLTLLY RapBattle (Berlin),Rap Battle,2016
DirtySanchez,Karma,DLTLLY RapBattle (Berlin),Rap Battle,2016
Scumgod,Der Schwede,DLTLLY RapBattle (Berlin),Rap Battle,2016
Muro,Marc Zufall,DLTLLY RapBattle (Düsseldorf),Rap Battle,2016
Saking,Black Snowman,DLTLLY NewcomerBattle (FFM),Rap Battle,2016
Nikiz,Cleptomatic,DLTLLY RapBattle (Berlin),Rap Battle,2016
Mars B.,Jack Dragon,DLTLLY RapBattle (Privat,Rap Battle,2016
Schalle,Aladin,DLTLLY RapBattle (FFM),Rap Battle,2016
MfGen,Ciro,DLTLLY NewcomerBattle (FFM),Rap Battle,2016
D-OS,Banal,DLTLLY NewcomerBattle (FFM),Rap Battle,2016
BX,Patrick Enemy,DLTLLY RapBattle (FFM),Rap Battle,2016
Tobi High & Max Stoned,Lockenkopf & Tschappy,DLTLLY RapBattle (FFM),Rap Battle,2016
N'antinein,Dopex,DLTLLY RapBattle (FFM),Rap Battle,2016
Johnny Rakete,Kex Kuhl,DLTLLY ComplimentsBattle (5 Jahre Daily Rap Jam,Rap Battle,2016
Karma,Akanoo,DLTLLY RapBattle (5 Jahre Daily Rap Jam,Rap Battle,2016
Indoor Stan,Yarambo,DLTLLY RapBattle (Bochum),Rap Battle,2015
FALK,FraX One,DLTLLY RapBattle (Bochum),Rap Battle,2015
Notyzze,Buddi,DLTLLY RapBattle (Bochum),Rap Battle,2015
Collapz & CPE,Aresst & D.ZUM.A,DLTLLY NewcomerBattle (Bochum),Rap Battle,2015
Fabiga,Bauda,DLTLLY RapBattle (Bochum),Rap Battle,2015
Jack Dragon,Smoke Tüü,DLTLLY RapBattle (Stuttgart),Rap Battle,2015
Dezzad,N'Antinein,DLTLLY RapBattle (Stuttgart),Rap Battle,2015
Nedal Nib,Mars B.,DLTLLY RapBattle (B.day #2,Rap Battle,2015
Ali Affront,Seby Tone,DLTLLY RapBattle (B.Day#2,Rap Battle,2015
Change19 & Henrey,Tobi High & Max Stoned,DLTLLY RapBattle (B.Day#2,Rap Battle,2015
Karma,Robscure,DLTLLY RapBattle (B.Day#2,Rap Battle,2015
Hansen,George Midas,DLTLLY RapBattle (Berlin),Rap Battle,2015
Fab,Cemo,DLTLLY NewcomerBattle (DAYtime Event,Rap Battle,2015
Dezzad,Schnaxler,DLTLLY RapBattle (DAYtime Event,Rap Battle,2015
Le Nerd,Tobi Nice,DLTLLY RapBattle (Berlin),Rap Battle,2015
Pedro,Jean-Gough Frais,DLTLLY RapBattle (Berlin),Rap Battle,2015
T Way,Nikiz,DLTLLY RapBattle (Berlin),Rap Battle,2015
Mio Mao,Buddi,DLTLLY RapBattle (Tapefabrik,Rap Battle,2015
Lyrico,Mars B.,DLTLLY RapBattle (Tapefabrik,Rap Battle,2015
Karma,Limstar,DLTLLY NewcomerBattle (München),Rap Battle,2015
Henrey,Change19,DLTLLY NewcomerBattle (München),Rap Battle,2015
Le Nerd,Davie Jones,DLTLLY RapBattle (Berlin),Rap Battle,2015
JOLLYJAY,MR TONGUE TWISTER,Dont Flop Rap Battle,Rap Battle,Unknown
Mighty Mo & Nedal Nib,Duff,DLTLLY RapBattle (Splash 18),Rap Battle,2015
Mars B.,Mirror,DLTLLY RapBattle (Berlin),Rap Battle,2015
Tis L,T-Way,DLTLLY RapBattle (Berlin),Rap Battle,2015
MC Maik + Mave,Scumgod + DirtySanchez,DLTLLY RapBattle (Berlin),Rap Battle,2015
Merlin,Bong Teggy,DLTLLY RapBattle (München),Rap Battle,2015
Jack Dragon,Demolux,DLTLLY RapBattle (München),Rap Battle,2015
Brian Damage,Harry Crotch,DLTLLY ComplimentsBattle (München),Rap Battle,2015
Ali Affront,Fellowsoph,DLTLLY RapBattle (München),Rap Battle,2015
Brian Damage,Davie Jones,DLTLLY RapBattle (Livin' HipHop Jam,Rap Battle,2015
Lyrico,Harry Crotch,DLTLLY RapBattle (Livin' HipHop Jam,Rap Battle,2015
Doktor Dave,George Midas (HipHop Convention),DLTLLY RapBattle (Berlin),Rap Battle,2015
Tis L,Bauda,DLTLLY RapBattle  (Berlin),Rap Battle,2015
Nikiz,Le Nerd,DLTLLY RapBattle (Berlin),Rap Battle,2015
Scumgod + DirtySanchez,Tschappy + Doktor Dave,DLTLLY RapBattle (Berlin),Rap Battle,2015
Mighty Mo,Hansen - REMATCH!,DLTLLY RapBattle (Hamburg),Rap Battle,2015
DeeLah,D.O.C.,DLTLLY RapBattle (Hamburg),Rap Battle,2015
Kenny Kansas,Core One,DLTLLY RapBattle (Hamburg),Rap Battle,2015
Onkel Oktomusch + Die Zwetschke,Mave + MC Maik,DLTLLY RapBattle (Hamburg),Rap Battle,2015
Nedal Nib,Der Fischer,DLTLLY RapBattle (Hamburg),Rap Battle,2015
Mac Horn + Cashus K.,PadaLash + SZD,DLTLLY RapBattle (Hamburg),Rap Battle,2015
Aytee,Fabiga,DLTLLY RapBattle (DAYtime Event,Rap Battle,2015
Buddi,Duff,DLTLLY RapBattle (DAYtime Event,Rap Battle,2015
Proton,Heideck,DLTLLY RapBattle (DAYtime Event,Rap Battle,2015
Buy Some,T-Way,DLTLLY RapBattle (DAYtime Event,Rap Battle,2015
Juskah,BDad,DLTLLY RapBattle (B.Day#1,Rap Battle,2014
Merlin,Schote,DLTLLY RapBattle (B.Day#1,Rap Battle,2014
George Midas,RV,DLTLLY RapBattle (B.Day#1,Rap Battle,2014
Bong Teggy,Papi Schlauch// DLTLLY RapBattle (B.Day#1,Berlin),Rap Battle,2014
NilsmSkils,MosProb,English Rap Battle,Rap Battle,2014
Buddi,Jack Dragon,DLTLLY RapBattle (B.Day#1,Rap Battle,2014
Rino Mandingo + Johnny Rakete,Onkel Oktomusch + Die Zwetschke,DLTLLY (B.Day,Rap Battle,2014
Doktor Dave,Nedal Nib,DLTLLY RapBattle (B.Day#1,Rap Battle,2014
Der Fischer,Harry Crotch,DLTLLY RapBattle (Stuttgart),Rap Battle,2014
BX,Crash Bundy,DLTLLY RapBattle (Stuttgart),Rap Battle,2014
Peter Pogen,Mars B.,DLTLLY RapBattles (Stuttgart),Rap Battle,2014
BDad,Smoke Tüü,DLTLLY RapBattle (Stuttgart),Rap Battle,2014
JEAN GOUGH FRAIS,OGMIOS,Don't Flop Rap Battle,Rap Battle,Unknown
IMPACT,MANIAC,Don't Flop Rap Battle,Rap Battle,Unknown
Jack Dragon,Suza,DLTLLY RapBattle  (Don't Flop CoEvent,Rap Battle,2014
INNUENDO,JOLLYJAY,Don't Flop Rap Battle,Rap Battle,Unknown
Nikiz,Luie-Die-Nadel,DLTLLY RapBattles (Don't Flop CoEvent,Rap Battle,2014
MR TONGUE TWISTER,BRIAN DAMAGE,Don't Flop Rap Battle,Rap Battle,Unknown
Fatcap,Doktor Dave,DLTLLY RapBattle (Don't Flop CoEvent,Rap Battle,2014
Merlin,Gozpel,DLTLLY RapBattle (Splash 17),Rap Battle,2014
Mighty P,MC Maik,DLTLLY RapBattle (EOW-Tour,Rap Battle,2014
DuFF,Fresh Polakke,DLTLLY RapBattle (Splash 17),Rap Battle,2014
Duzoe & Dollar John,Der Fischer & Johnny Medez,DLTLLY RapBattle (EOW-Tour,Rap Battle,Unknown
Brian Damage + Philipp Quh,Mighty Mo + Nedal Nib,DLTLLY RapBattle (Splash 17),Rap Battle,2014
Pille,MisterOneTake,DLTLLY RapBattle (EOW-Tour,Rap Battle,2014
BDad,TWO,DLTLLY RapBattle (EOW-Tour,Rap Battle,2014
Proton,Koozy,DLTLLY RapBattle (EOW-Tour,Rap Battle,2014
Onkel Oktomusch & Die Zwetschke,DeeLah & MOH,DLTLLY RapBattle (EOW-Tour,Rap Battle,2014
Mirko Fon,Kiddom,DLTLLY RapBattle (EOW-Tour,Rap Battle,2014
Mighty Mo,Hansen,DLTLLY RapBattle (EOW-Tour,Rap Battle,2014
Salo,Tanguy,DLTLLY RapBattle (München),Rap Battle,2014
Seby Tone,Manny Blanco,DLTLLY RapBattle (München),Rap Battle,2014
Jack Dragon,Davie Jones,DLTLLY RapBattle (München),Rap Battle,2014
Johnny Rakete,Philipp Quh,DLTLLY RapBattle (München),Rap Battle,2014
Nestor,Pirate,DLTLLY RapBattle (Berlin),Rap Battle,2014
Nikiz,Doktor Dave,DLTLLY RapBattle (Berlin),Rap Battle,2014
Micky Worthless,Jean-Gough Frais,DLTLLY international RapBattle,Rap Battle,2014
George Midas,Der Fischer,DLTLLY RapBattle (Berlin),Rap Battle,2014
Brian Damage & Harry Crotch,Proton & Roni 87,DLTLLY RapBattle (Berlin),Rap Battle,2014
Amah,Koozy,DLTLLY RapBattle (München),Rap Battle,2014
Harry Crotch,Jack Dragon,DLTLLY RapBattle (München),Rap Battle,2014
Merlin,Mighty P,DLTLLY RapBattle (München),Rap Battle,2014
Johnny Rakete,Duff,DLTLLY RapBattle (München),Rap Battle,2014
Hansen,Presto,DLTLLY RapBattle (Berlin),Rap Battle,2013
Zero2012,Der Fischer,DLTLLY RapBattle (Berlin),Rap Battle,2013
Rino Mandingo,Breeze,DLTLLY RapBattle (Berlin),Rap Battle,2013
MC Mirror,Proton,DLTLLY RapBattle (Berlin),Rap Battle,2013
Mos Prob,Maniac,DLTLLY RapBattle (Berlin),Rap Battle,2013
Brian Damage,Doktor Dave,DLTLLY RapBattle (Berlin),Rap Battle,2013
Kizu,Trump,DLTLLY RapBattle (Berlin),Rap Battle,2013
Doktor Dave,Jack Dragon,DLTLLY RapBattle (Berlin),Rap Battle,2013
Rob Really,Manekin Peace,DLTLLY RapBattle (Berlin),Rap Battle,2013
Brian Damage,Mighty P,DLTLLY RapBattle (Berlin),Rap Battle,2013
Hansen,Kurzer Prozess,DLTLLY RapBattle (Berlin),Rap Battle,2013
